城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
内蒙古,腾格里沙漠营地,,0,80,60,内蒙古·阿拉善盟·阿拉善左旗,"104.914478,37.62182",腾格里沙漠营地位于腾格里沙漠境内，气候极度干燥，景色可与摩洛哥相媲美。在这里，你可以在腾格沙漠里骑骆驼、玩越野车冲沙、沙,FALSE,内蒙古自治区阿拉善盟阿拉善左旗水稍子生态旅游区向西1000米
内蒙古,包头海洋世界,,0,158,50,内蒙古·包头·青山区,"109.86668,40.664787",一座风格独特的海洋主题游乐馆,FALSE,内蒙古自治区包头市青山区钢铁大街7号正翔国际广场海洋世界
内蒙古,室韦俄罗斯民族乡,,3.6,450,48,内蒙古·呼伦贝尔·额尔古纳市,"119.937861,50.822025",蒙古族祖先——蒙兀室韦部落的发祥地,FALSE,内蒙古呼伦贝尔额尔古纳市中俄边界的额尔古纳河边
内蒙古,库布其沙漠,3A,4.2,28,40,内蒙古·鄂尔多斯·达拉特旗,"109.89159,40.323151",让您与大自然亲近，让探险之梦成真,FALSE,内蒙古鄂尔多斯市展旦召
内蒙古,蒙亮民族风情园,3A,0,108,38,内蒙古·呼和浩特·玉泉区,"111.657615,40.823487",民族工艺品生产,FALSE,内蒙古呼和浩特市玉泉区新华西街299号
内蒙古,红格尔敖包景区,,0,106,34,内蒙古·包头·达尔罕旗,"111.200184,41.405805",置身成吉思汗时期战火硝烟的感觉,FALSE,内蒙古包头达尔罕茂明安联合旗希拉穆仁草原
内蒙古,辉腾锡勒草原,3A,5,218,32,内蒙古·乌兰察布·察哈尔右翼中旗,"112.47071,41.428507",格调苍茫雄浑，色彩明媚清秀，甚为壮观,FALSE,内蒙古省乌兰察布察哈尔右翼中旗
内蒙古,鄂尔多斯草原旅游区,4A,3.6,9,30,内蒙古·鄂尔多斯·杭锦旗,"108.634832,39.817608",鄂尔多斯草原，因你而美,FALSE,内蒙古鄂尔多斯杭锦旗锡尼镇西南9公里处
内蒙古,成吉思汗陵,5A,0,90,28,内蒙古·鄂尔多斯·伊金霍洛旗,"109.793039,39.376552",世界蒙古民族心灵胜地,FALSE,内蒙古鄂尔多斯市伊金霍洛旗伊金霍洛镇
内蒙古,美岱召,4A,3.7,28,28,内蒙古·包头·土默特右旗,"110.716041,40.610486",是一座“城寺结合，人佛共居”的喇嘛庙,FALSE,内蒙古自治区包头市土默特右旗美岱召镇110国道北面
内蒙古,万家惠欢乐水世界,,0,95,20,内蒙古·鄂尔多斯·万家惠欢乐世界,"109.950485,39.850945",万家惠欢乐世界位于鄂尔多斯市东胜区铁西万家惠，是国家4A级旅游景区，是集休闲、度假、娱乐、旅游、文化、商业于一体的大型综,FALSE,鄂尔多斯市东胜区永昌路47号万家惠欢乐世界
内蒙古,玉龙沙湖,4A,3.8,75,18,内蒙古·赤峰·翁牛特旗,"119.039915,43.041299",有“八百里瀚海”之称,FALSE,内蒙古赤峰市翁牛特旗乌丹镇布日敦嘎查境内
内蒙古,梅力更,3A,3.6,1.3,16,内蒙古·包头·九原区,"109.4542,40.671363",远离城市喧嚣的天然氧吧,FALSE,内蒙古省包头市梅力更沟110国道724公里处
内蒙古,莫尼山非遗小镇,,0,48,16,内蒙古·呼和浩特,"111.58584220304894,40.90893701414145",,FALSE,104省道呼武路段
内蒙古,神泉生态旅游景区,4A,0,120,16,内蒙古·呼和浩特·托克托县,"111.224949,40.192416",九曲黄河十八弯，塞北大漠游神泉,FALSE,内蒙古呼和浩特市托克托县旧城郝家窑村
内蒙古,蒙古源流旅游区,4A,0,90,14,内蒙古·鄂尔多斯·伊金霍洛旗,"109.756778,39.507376",蒙古源流文化产业园区坐落于一代天骄成吉思汗陵所在地——鄂尔多斯伊金霍洛旗，位于“呼包鄂”金三角和“蒙晋陕宁”四省的交汇处,FALSE,内蒙古鄂尔多斯伊金霍洛旗蒙古源流文化产业园区
内蒙古,希拉穆仁草原花海,,0,150,12,内蒙古·包头·达尔罕旗,"111.151103,41.336216",体会独特浓郁的蒙古民族文化风情,FALSE,内蒙古自治区包头市达尔罕茂明安联合旗东南部希拉穆仁镇
内蒙古,乌兰哈达火山地质公园,,0,200,10,内蒙古·乌兰察布,"113.138106,41.609541",内蒙古乌兰哈达火山地质公园位于内蒙古自治区乌兰察布市察右后旗乌兰哈达苏木境内， 距北京仅380公里，公园面积65.9平方,FALSE,内蒙古自治区乌兰察布市察哈尔右翼后旗
内蒙古,西部梦幻峡谷,,0,58,8,内蒙古·阿拉善盟·阿拉善左旗,"106.223699,40.456089",西部梦幻峡谷位于敖伦布拉格镇西北向26公里处，它全长5公里，高度约20--30米左右，这里是典型的早期水流形成的丹霞地貌,FALSE,内蒙古阿拉善左旗敖伦布拉格镇阴山余脉中
内蒙古,库伦银沙湾,5A,0,108,6,内蒙古·通辽·库伦旗,"121.633213,42.852563",沙漠探险、民族风情,FALSE,内蒙古自治区通辽市库伦旗库伦镇道老都嘎查路北银沙湾路1号
内蒙古,七星湖沙漠风景区,4A,3.5,70,6,内蒙古·鄂尔多斯·杭锦旗,"108.353845,40.706882",湖水旖旎，水波不惊,FALSE,内蒙古省鄂尔多斯市杭锦旗独贵塔拉镇
内蒙古,林胡古塞,,0,88,4,内蒙古·乌兰察布·卓资县,"112.333073,40.779697",山水休闲旅游目的地,FALSE,内蒙古乌兰察布市卓资县大榆树乡
内蒙古,辉腾锡勒（黄花沟）草原旅游区,4A,3.6,130,4,内蒙古·乌兰察布·察哈尔右翼中旗,"112.549465,41.150495",牛羊游动，牧歌撩亮，堪称塞外江南,FALSE,内蒙古乌兰察布察哈尔右翼中旗辉腾锡勒草原
内蒙古,成吉思汗陵旅游景区,5A,5,0.8,4,内蒙古·鄂尔多斯·伊金霍洛旗,"109.832426,39.369384",真实再现成吉思汗率军出征实景的大型军阵,FALSE,内蒙古省鄂尔多斯市伊金霍洛旗伊金霍洛镇
内蒙古,碧海云天(中山西路店）,,0,139,4,内蒙古·呼和浩特·回民区,"111.663508,40.814308",沐浴主题连锁会馆,FALSE,内蒙古自治区呼和浩特市中山西路40号
内蒙古,二连浩特国家地质公园,4A,0,47,4,内蒙古·锡林郭勒盟·二连浩特,"112.02525,43.728264",恐龙化石群遗迹为主体景观的国家地质公园,FALSE,内蒙古锡林郭勒盟二连浩特市市区东北9公里处
内蒙古,呼伦贝尔民族博物馆,,0,200,4,内蒙古·呼伦贝尔·海拉尔区,"119.772346,49.218762",原始时代的呼伦贝尔,FALSE,内蒙古呼伦贝尔市海拉尔区
内蒙古,金本道汤泉,,0,29.9,2,内蒙古·呼和浩特·赛罕区,"111.72081,40.820235",健康、养生、时尚的汗蒸汤泉,FALSE,内蒙古呼和浩特市赛罕区东影南路半亩地后边
内蒙古,青水瓦台汤泉（中山店）,,0,49,2,内蒙古·呼和浩特·回民区,"111.669821,40.817123","汤泉内洗浴设施：竹炭房、玉石房、盐房、汗蒸房、桑拿房、浴池；

休闲设施：儿童游乐场、网吧、客房、图书馆、按摩房、休息厅",FALSE,呼和浩特市回民区中山西路富邦商厦3楼
内蒙古,RS国际卡丁车俱乐部,,0,78,2,内蒙古·乌兰察布·集宁区,"113.07923,41.135264",RS国际卡丁车俱乐部是内蒙古自治区规模较大、较具专业专业的卡丁车赛车场。是一家以赛车文化为依托采用良好的设施和服务，广结,FALSE,乌兰察布市察哈尔右翼前旗S310省道机场立交北3公里农耕文化园内
内蒙古,通辽蓝湾温泉,,0,28,2,内蒙古·通辽·科尔沁左翼中旗,"123.285624,44.129233",设计独特，规模宏大，营造幽雅、安静、舒适、高尚的休闲氛围，颇具特色的风格。为消费者提供优雅、舒适、健康、多样化娱乐的一站,FALSE,内蒙古通辽市科尔沁左翼中旗保康水域蓝湾南门东100米
内蒙古,金帐汗蒙古部落,4A,4.1,128,2,内蒙古·呼伦贝尔·陈巴尔虎旗,"119.788654,49.511912",以游牧部落为景观的景点,FALSE,内蒙古呼伦贝尔市陈巴尔虎旗呼伦贝尔草原德莫尔格勒河畔
内蒙古,北方兵器城,4A,3.5,15,2,内蒙古·包头·青山区,"109.88557462447,40.687036009509",展示北重集团为国防事业作出的突出贡献,FALSE,内蒙古包头市青山区兵工路
内蒙古,根河源国家湿地公园,4A,0,500,64,内蒙古·呼伦贝尔·根河市,"121.675649,50.872078",多功能大型景区,FALSE,内蒙古呼伦贝尔市根河市
内蒙古,巴尔虎部落,4A,0,180,59,内蒙古·呼伦贝尔·新巴尔虎左旗,"119.284674,47.702073",展现原生态巴尔虎民族的旅游景点,FALSE,内蒙古呼伦贝尔市新巴尔虎左旗绥满公路301国道旁1494公里处
内蒙古,古榆园旅游区,3A,0,25,62,内蒙古·通辽·开鲁县,"121.077151,43.573951",古榆风采千年依旧，衍生许多神奇传说,FALSE,内蒙古通辽市开鲁县大榆树镇，距开鲁县城西20公里
内蒙古,呼伦贝尔古城,3A,0,200,61,内蒙古·呼伦贝尔,"124.333798,48.591085",一座见证过历史变迁、商业沉浮的古城,FALSE,内蒙古自治区呼伦贝尔市莫力达瓦达斡尔族自治旗
内蒙古,腾格里沙漠月亮湖,4A,0,90,54,内蒙古·阿拉善盟·阿拉善左旗,"105.277302,38.503858",集沙漠探险旅游、娱乐休假为一体,FALSE,内蒙古阿拉善盟阿拉善左旗腾格里沙漠腹地
内蒙古,内蒙古博物馆,,4.1,785,92,内蒙古·呼和浩特·新城区,"111.683115,40.828515",馆内文物具有鲜明的民族特色和地方特点,FALSE,内蒙古呼和浩特市新城区新华东街27号
内蒙古,杨树沟地下瀑布群,,3.5,143,62,内蒙古·兴安盟·扎赉特旗,"122.90149934969,46.790100840719",瀑布是河流在平坦玄武岩台地的断陷地带跌入陷谷形成。距瀑布100米范围内即可听到瀑布跌水声，但不见瀑布形影，直至瀑布边缘，,FALSE,扎赉特旗北部
内蒙古,海拉尔国家森林公园,3A,3.6,3,54,内蒙古·呼伦贝尔·海拉尔区,"119.721431,49.202231",中国北方珍贵的针叶树种之一,FALSE,内蒙古呼伦贝尔盟海拉尔市区西部
内蒙古,呼和诺尔草原,4A,3.6,180,68,内蒙古·呼伦贝尔·陈巴尔虎旗,"119.246306,49.306136",具有独特的草原风光和浓郁的少数民族风情,FALSE,内蒙古呼伦巴尔市陈巴尔虎旗
内蒙古,满洲里国门景区,5A,3.7,10,39,内蒙古·呼伦贝尔·中俄边境旅游区,"117.362682,49.63359",中俄边境旅游区的重要组成部分,FALSE,内蒙古呼伦贝尔满洲里市西部中俄边境处
内蒙古,永亮温泉水世界,,0,93,90,内蒙古·乌兰察布·集宁区,"113.156154,41.000606",温泉养生、休闲娱乐、汗蒸理疗、绿色美食,FALSE,内蒙古自治区乌兰察布市集宁新区正黄路东侧，昌宁街北侧（温州建材城东门对面）
内蒙古,公主湖,,0,468,82,内蒙古·赤峰·乌兰布统旅游区,"117.136937,42.662754",风情万种，令人陶醉,FALSE,内蒙古赤峰市克什克腾旗乌兰布统旅游景区内
内蒙古,老鹰嘴,,0,500,39,内蒙古·呼伦贝尔·额尔古纳市,"119.996476,51.421216",当地人踏青赏秋的独特景点,FALSE,内蒙古省额尔古纳市室韦镇临江屯以北7公里
内蒙古,哈素海天鹅堡温泉,,0,95,84,内蒙古·呼和浩特·哈素海,"110.996331,40.628271",温泉出水口温度为52度，温泉检测水质优良,FALSE,内蒙古呼和浩特市土默特左旗哈素海国家湿地公园
内蒙古,鄂尔多斯康巴什旅游区,4A,0,1195,93,内蒙古·鄂尔多斯·康巴什,"109.819623,39.608494",民族性与现代性交相辉印的城市经典之作,FALSE,内蒙古自治区鄂尔多斯市康巴什新区
内蒙古,达尔吉林寺,,0,3,82,内蒙古·呼伦贝尔·海拉尔区,"119.761735,49.239804",一座藏传佛教寺院,FALSE,中国内蒙古自治区呼伦贝尔市海拉尔区
内蒙古,乌兰布统草原,,0,468,55,内蒙古·赤峰·乌兰布统旅游区,"117.241154,42.538855",它是天公的赐予是造化的神奇,FALSE,乌兰布统旅游开发区地处克什克腾旗西南部（克什克腾旗乌兰布统乡），浑善达克沙地的东南边缘，平均海拔高度1500米，距旗人民政府所在地115公里
内蒙古,龙岩览胜,,0,3680,67,内蒙古·呼伦贝尔·额尔古纳市,"120.798277,51.269319",龙头高耸，龙身苍劲，龙尾挺峭,FALSE,内蒙古呼伦贝尔市额尔古纳市
内蒙古,贡格尔草原,,0,3980,70,内蒙古·赤峰·克什克腾旗,"116.680613,43.408748",融自然风光、蒙古族风情于一体，景色如画,FALSE,内蒙古赤峰市克什克腾旗达来诺日乡
内蒙古,驼峰岭天池,,0,1580,62,内蒙古·兴安盟·阿尔山国家森林公园,"120.654133,47.465159",蕴含美丽传说的驼峰岭天池,FALSE,阿尔山国家森林公园内，离游客中心40km，自驾20分钟
内蒙古,乌苏浪子湖,,0,1580,91,内蒙古·兴安盟·阿尔山市,"120.343765,47.322076",水美草香，有“大兴安岭小江南”之美誉,FALSE,
内蒙古,赤峰悦温泉,,0,22,69,内蒙古·赤峰·松山区,"118.935126,42.295923",天赋灵泉、悦·享自然，悦温泉休闲养生汗蒸会馆位于赤峰市松山区富河国际a区西门，总面积为3000余平米，是一家高品质沐浴养,FALSE,内蒙古自治区赤峰市松山区富和国际A区15号楼01-11
内蒙古,嘚趣相声社,,0,22,87,内蒙古·呼和浩特·新城区,"111.667908,40.845491",呼和浩特市嘚趣相声社（原众乐相声社）成立与二零一六年，是由呼和浩特几位热爱曲艺的青年小伙子共同成立，常规演出为每周五、六,FALSE,呼和浩特市新城区气象局西巷北口巴音琴行二楼
内蒙古,准格尔旗黄河大峡谷,,0,27,36,内蒙古·鄂尔多斯·准格尔旗,"111.466257,39.619085",准格尔黄河大峡谷位于鄂尔多斯市准格尔旗，景区以广袤的黄河峡谷风景为底色，以浑厚的黄河文化为依托，以漫瀚文化为品牌，打造黄,FALSE,鄂尔多斯市准格尔旗包子塔
内蒙古,绿康源生态游乐园,,0,19,90,内蒙古·乌兰察布·丰镇市,"113.09111,40.502067",绿康源生态游乐园位于乌兰察布市丰镇市，主要设有有机果蔬采摘、农耕农活体验、户外拓展训练、手工陶艺制作、小动物喂养以及儿童,FALSE,乌兰察布市丰镇市巨宝庄镇绿康源采摘
内蒙古,莫力庙世源温泉度假疗养康复中心,,0,88,82,内蒙古·通辽,"121.949734,43.580626",,FALSE,通辽市科尔沁区莫力庙苏木东3公里
内蒙古,敖汉温泉城,,3.5,55,74,内蒙古·赤峰·敖汉旗,"119.996795,41.940886",饮浴并用更有特效，是温泉养生的好去处,FALSE,内蒙古赤峰市敖汉旗林家地乡热水汤村
内蒙古,乌兰布统旅游区,,5,538,68,内蒙古·赤峰·克什克腾旗,"117.284212,42.490725",《射雕英雄传》和《康熙帝国》的拍摄场景,FALSE,内蒙古自治区赤峰市克什克腾旗
内蒙古,阿尔山天池,,4.1,1580,76,内蒙古·兴安盟·阿尔山国家森林公园,"120.425001,47.318643",像一块碧玉，镶嵌在林木苍翠的高山之巅,FALSE,阿尔山市东北74公里
内蒙古,七仙湖草原,,3.6,1580,63,内蒙古·兴安盟·阿尔山市,"119.75403737824,49.144172588313",茫茫辽阔大草原，浓浓蒙古牧民风,FALSE,内蒙古兴安盟阿尔山市
内蒙古,额尔古纳界河,,4,268,54,内蒙古·呼伦贝尔·额尔古纳市,"119.341837,50.247659",一水分两国、一目览两岸之景令人过目难忘,FALSE,内蒙古自治区呼伦贝尔额尔古纳市
内蒙古,莫尔格勒河,,3.7,158,55,内蒙古·呼伦贝尔·陈巴尔虎旗,"119.76243120667,49.218161074542",两岸草浪滚滚，鲜花盛开,FALSE,呼伦贝尔的陈巴尔虎草原深处
内蒙古,黑山头城址,,3.5,450,80,内蒙古·呼伦贝尔·额尔古纳市,"119.77631070402,50.144267504259",哈萨尔及其家族居住的主要居住城池之一,FALSE,内蒙古自治区呼伦贝尔盟额尔古纳市黑山头镇正北5公里
内蒙古,阿拉善通湖草原,4A,0,99,46,内蒙古·阿拉善盟·阿拉善左旗,"104.938954,37.603207",大漠中的伊甸园，魅力多姿，美奂美伦,FALSE,内蒙古阿拉善盟阿拉善左旗腾格里沙漠经济开发区
内蒙古,塔敏查干沙漠,,0,120,75,内蒙古·通辽·库伦旗,"122.00666,42.866862",号称“八百里瀚海”,FALSE,内蒙古通辽市库伦旗塔敏查干沙漠旅游区
